ItemSku,SKU,SkuVendorCode,SkuName,Product Type,VendorCode,Country,status,VendorType,SiteName,Plant Type,WarehouseName
BB954-24,BB954-24,BB954-24NTF,Rose Yellow Brighton x24 40cm,Roses,NTF,Ecuador,Active,Floral,Yellow Rose Bouquet,One Time,
BB954-24,BB954-24,BB954-24NTF,Rose Yellow Brighton x24 40cm,Roses,NTF,Ecuador,Active,Floral,Yellow Rose Bouquet,One Time,
MSR-Tara24,BB954-24,BB954-24NTF,Rose Yellow Brighton x24 40cm,Roses,NTF,Ecuador,Active,Floral,Yellow Rose Bouquet,One Time,
YBMS24,BB954-24,BB954-24NTF,Rose Yellow Brighton x24 40cm,Roses,NTF,Ecuador,Active,Floral,Yellow Rose Bouquet,One Time,
BB955-26,BB955-26,BB955-26ELT,Singapore,Mixed,ELT,Colombia,Active,Floral,Sunshine Medley Bouquet,One Time,
BB959-30,BB959-30,BB959-30ELT,PF- Scoobie,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB960-27,BB960-27,BB960-27ELT,San Diego,Mixed,ELT,Colombia,Active,Floral,Lush,One Time,
59.99,BB961P,BB961PGNC,3” White Orchid,Plants,GNC,USA,Active,Floral,Graceful White Orchid / White Symphony Orchid,One Time,
BB961P,BB961P,BB961PGNC,3” White Orchid,Plants,GNC,USA,Active,Floral,Graceful White Orchid / White Symphony Orchid,One Time,
BB962-26,BB962-26,BB962-26ELT,Cincinnati,Mixed,ELT,Colombia,Active,Floral,Sweet Serenade Bouquet / Tranquil Harmony Bouquet,One Time,
7478005204,BB963P,BB963PGNC,White Paris Orchid with Concrete Heart,Plants,GNC,USA,Active,Floral,My Heart is in Paris,One Time,
BB963P,BB963P,BB963PGNC,White Paris Orchid with Concrete Heart,Plants,GNC,USA,Active,Floral,My Heart is in Paris,One Time,
BB964-26,BB964-26,BB964-26ELT,PF-Cosmo,Mixed,ELT,Colombia,Active,Floral,Spring has Sprung,One Time,
7477804398,BB965P,BB965PGNC,Pink Herat in Paris,Plants,GNC,USA,Active,Floral,Pink Heart in Paris,One Time,
BB965P,BB965P,BB965PGNC,Pink Paris Orchid with Concrete Heart,Plants,GNC,USA,Active,Floral,Pink Hearts in Paris,One Time,
BB966-30,BB966-30,BB966-30ELT,PF- Kenji,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB967-28,BB967-28,BB967-28ELT,Bangkok,Mixed,ELT,Colombia,Active,Floral,Radiant Blooms,One Time,
BB968-30,BB968-30,BB968-30ELT,PF- Milo,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB969-30,BB969-30,BB969-30ELT,PF- Oscar,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB970-22,BB970-22,BB970-22ELT,Juneau,Mixed,ELT,Colombia,Active,Floral,Springtime Symphony,One Time,
BB970-22 + clippers,BB970-22 + clippers,BB970-22 + clippersELT,Springtime Symphony with Clippers,Mixed,ELT,Colombia,Inactive,Floral,Springtime Symphony with Clippers,One Time,
BB971-31,BB971-31,BB971-31ELT,PF- Sofi,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB972P,BB972P,BB972PGNC,Calathea lancifolia in Pink Jane Matte,Plants,GNC,USA,Active,Floral,Meet Cute,One Time,
BB973-30,BB973-30,BB973-30ELT,PF-Onix,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB974-27,BB974-27,BB974-27ELT,Cleveland,Mixed,ELT,Colombia,Active,Floral,Pastel Petals Paradise / Radiant Colorburst Bouquet,One Time,
BB976-30,BB976-30,BB976-30ELT,PF- Winter,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB977-27,BB977-27,BB977-27ELT,Phoenix,Mixed,ELT,Colombia,Active,Floral,Sweet Serenade,One Time,
BB977-27 + Clippers,BB977-27,BB977-27ELT,Phoenix,Mixed,ELT,Colombia,Inactive,Floral,Sweet Serenade,One Time,
BB979-26,BB979-26,BB979-26ELT,Denver,Mixed,ELT,Colombia,Active,Floral,Blushing Beauty Bouquet / Garden Fresh Bouquet,One Time,
BB980-30,BB980-30,BB980-30ELT,PF- Elvis,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB981-23,BB981-23,BB981-23MGF,Vacation in the Tropic,Tropical,MGF,Ecuador,Active,Floral,Vacation in the Tropic,One Time,
BB982P,BB982P,BB982PGNC,ZZ Plant in Pink Jane Matte Pot,Plants,GNC,USA,Active,Floral,Star Crossed,One Time,
BB984-30,BB984-30,BB984-30ELT,PF- Bruno,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB985-31,BB985-31,BB985-31ELT,Reno,Mixed,ELT,Colombia,Active,Floral,Coral Sunset,One Time,
BB985-31 +clippers,BB985-31,BB985-31ELT,Reno,Mixed,ELT,Colombia,Inactive,Floral,Coral Sunset,One Time,
BB986-30,BB986-30,BB986-30ELT,PF- Mickey,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB987-25 + clippers,BB987-25,BB987-25EBT,BB987-25 blooming brilliance with tote and scissors,Mixed,EBT,Ecuador,Inactive,Floral,BB987-25 blooming brilliance with tote and scissors,One Time,
BB987-35,BB987-35,BB987-35EBT,Inwood,Mixed,EBT,Ecuador,Active,Floral,Sweetheart Surprise Bouquet / Coral Sunset Bouquet,One Time,
BB988-30,BB988-30,BB988-30ELT,PF- Tommy,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB989-30,BB989-30,BB989-30ELT,St. Lucia,Mixed,ELT,Colombia,Active,Floral,Juicy Blooms,One Time,
BB990-24,BB990-24,BB990-24ELT,Washington,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
7477824495,BB991P,BB991PGNC,Pink Anthurium in Pink Jane Matte Pot,Plants,GNC,USA,Active,Floral,Perfectly Pink Anthurium,One Time,
BB991P,BB991P,BB991PGNC,Pink Anthurium in Pink Jane Matte Pot,Plants,GNC,USA,Active,Floral,Perfectly Pink Anthurium,One Time,
BB992-32,BB992-32,BB992-32MGF,Foulard Banana Shampoo,Tropical,MGF,Ecuador,Active,Floral,Foulard Banana Shampoo,One Time,
8501038010,BB993-32,BB993-32ELT,Lahaina,Mixed,ELT,Colombia,Active,Floral,Spring Fling,One Time,
BB993-32,BB993-32,BB993-32ELT,Lahaina,Mixed,ELT,Colombia,Active,Floral,Spring Fling,One Time,
BB994-31,BB994-31,BB994-31FSN,,Mixed,FSN,Ecuador,Active,Floral,PF- Pam,One Time,
8501042198,BB996-28,BB996-28ELT,St. Louis,Mixed,ELT,Colombia,Active,Floral,Creamsicle Dream,One Time,
BB996-28,BB996-28,BB996-28ELT,St. Louis,Mixed,ELT,Colombia,Active,Floral,Creamsicle Dream,One Time,
BB997-30,BB997-30,BB997-30ELT,PF- Tobbie,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB998-35,BB998-35,BB998-35EBT,Marble Hill,Mixed,EBT,Ecuador,Active,Floral,Garden Symphony Bouquet,One Time,
BB999-30,BB999-30,BB999-30ELT,PF- Duque,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BBCANDLE,BBCANDLE,BBCANDLEMULT,Sakura Candle,AddOn,MULT,MULT,Active,Hargoods,Sakura Candle,One Time,
candle and scissor,BBCANDLE,BBCANDLEMULT,Sakura Candle,AddOn,MULT,MULT,Active,Hargoods,Sakura Candle,One Time,
CANDLES,BBCANDLE,BBCANDLEMULT,Sakura Candle,AddOn,MULT,MULT,Active,Hargoods,Sakura Candle,One Time,
BBRuscus,BBRuscus,BBRuscusMULT,BBRuscus,Mixed,MULT,MULT,Inactive,Floral,UNKN,One Time,
SQ5173256,Bloomsy Bi-weekly,Bloomsy Bi-weeklyMULT,Bloomsy Weekly,Mixed,MULT,MULT,Active,Floral,Bloomsy Weekly,Suscription,
SQ5173256-Recharge,Bloomsy Bi-weekly,Bloomsy Bi-weeklyMULT,Bloomsy Weekly,Mixed,MULT,MULT,Active,Floral,Bloomsy Weekly,Suscription,
SQ5360952,Bloomsy Bi-weekly,Bloomsy Bi-weeklyMULT,Bloomsy Weekly,Mixed,MULT,MULT,Active,Floral,Bloomsy Weekly,Suscription,
BLOOMSYCHOICE,Bloomsy Choice,Bloomsy ChoiceMULT,Bloomsy Choice,Mixed,MULT,MULT,Active,Floral,Bloomsy Choice,Suscription,
