SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
BB1177P,"5"" Calathea Wavestar on 5"" White Evi",Plants,Calathea Wavestar with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1629126095,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1178-5,Hydrangea Big Petal Kiwi Select,Bunch,Kiwi Dream Hydrangea Bouquet,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1580339309,5,Small,Active,no match,,Perishable,One Time,FNA,Floral
BB1179-30,NYBG OCT Roots,Mixed,Misty Whispers Bouquet,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=444187072,30,Large,Active,no match,,Perishable,One Time,RPM,Floral
BB118-27,Autumn Morning,Mixed,Autumn Morning,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1917518770,27,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1180-27,Mashhad,Mixed,Creamy Blue Horizon,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1241088848,27,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1181P,"5"" Pink Anthurium on 5"" Cream Jute",Plants,Pink Anthurium with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1588047442,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1182-5,Hydrangea Red and Blue,Bunch,Patriotic Bliss Hydrangea Bouquet,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=675645264,5,Small,Active,no match,,Perishable,One Time,FNA,Floral
BB1183-28,Suva,Mixed,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=321137939,28,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1184P,"5"" Pink Orchid",Plants,"5"" Pink Orchid",Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1909994447,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1185P,Begonia Maculata (Angel Wing),Plants,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=132726292,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1186P,"5"" Blue Watercolor Orchid on 5"" Cream Jute",Plants,Blue Orchid with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1782400433,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1187P,Crassula ovata 'Sunset',Plants,Sunset Serenity Ovata,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=845230041,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1188P,"Pothos ""Njoy""",Plants,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=258897922,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1189P,"4"" Purple Orchid Duo on 5"" Brown Wood",Plants,Purple Orchid Duo with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1826642788,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB119-29,Fall Forward,Mixed,Fall Forward,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=767638661,29,Large,Active,no match,,Perishable,One Time,ELT,Floral
