Code,RetailCode,PlanType,Sku,Name,SiteName,Product Type,VendorCode,priceCode,Price,Year,Month,retail,Country,Status
BB089-24ELTFL,BB089-24FL,NonSuscription,BB089-24,Royalty,Royalty,Mixed,ELT,FL,$10.20 ,2024,,$64.99 ,Colombia,
BB089-24ELTCM,BB089-24CM,NonSuscription,BB089-24,Royalty,Royalty,Mixed,ELT,CM,$10.20 ,2024,,$64.99 ,Colombia,
BB089-24ELTSO,BB089-24SO,NonSuscription,BB089-24,Royalty,Royalty,Mixed,ELT,SO,$9.40 ,2024,JAN,$64.99 ,Colombia,
BB089-24ELTED,BB089-24ED,NonSuscription,BB089-24,Royalty,Royalty,Mixed,ELT,ED,$9.40 ,2024,JAN,$64.99 ,Colombia,
BB089-24ELTVD,BB089-24VD,NonSuscription,BB089-24,Royalty,Royalty,Mixed,ELT,VD,$11.65 ,2024,JAN,$64.99 ,Colombia,
BB1004-37ELTMD,BB1004-37MD,NonSuscription,BB1004-37,Munich,Field of Sunshine,Mixed,ELT,MD,$14.25 ,2024,,$64.99 ,Colombia,
BB1004-37ELTCM,BB1004-37CM,NonSuscription,BB1004-37,Munich,Field of Sunshine,Mixed,ELT,CM,$14.25 ,2024,,$64.99 ,Colombia,
BB1004-37ELTSO,BB1004-37SO,NonSuscription,BB1004-37,Munich,Field of Sunshine,Mixed,ELT,SO,$13.30 ,2024,JAN,$64.99 ,Colombia,
BB1004-37ELTED,BB1004-37ED,NonSuscription,BB1004-37,Munich,Field of Sunshine,Mixed,ELT,ED,$13.30 ,2024,JAN,$64.99 ,Colombia,
BB1004-37ELTVD,BB1004-37VD,NonSuscription,BB1004-37,Munich,Field of Sunshine,Mixed,ELT,VD,$15.40 ,2024,JAN,$64.99 ,Colombia,
BB1005-30MGFED,BB1005-30ED,NonSuscription,BB1005-30,Salad,Paradise Harmony Bouquet,Tropical,MGF,ED,,2023,,$59.99 ,Ecuador,
BB1005-30MGFVD,BB1005-30VD,NonSuscription,BB1005-30,Salad,Paradise Harmony Bouquet,Tropical,MGF,VD,,2023,,$59.99 ,Ecuador,
BB1005-30MGFMD,BB1005-30MD,NonSuscription,BB1005-30,Salad,Paradise Harmony Bouquet,Tropical,MGF,MD,,2023,,$59.99 ,Ecuador,
BB1006-30MGFED,BB1006-30ED,NonSuscription,BB1006-30,Rainforest pink,Rainforest pink,Tropical,MGF,ED,$9.84 ,2024,,$69.99 ,,
BB1006-30MGFVD,BB1006-30VD,NonSuscription,BB1006-30,Rainforest pink,Rainforest pink,Tropical,MGF,VD,$9.84 ,2024,,$69.99 ,,
BB1006-30MGFMD,BB1006-30MD,NonSuscription,BB1006-30,Rainforest pink,Rainforest pink,Tropical,MGF,MD,$9.84 ,2024,,$69.99 ,,
BB1006-30MGFFL,BB1006-30FL,NonSuscription,BB1006-30,Rainforest pink,Rainforest pink,Tropical,MGF,FL,$9.84 ,2024,,$69.99 ,,
BB1006-30MGFCM,BB1006-30CM,NonSuscription,BB1006-30,Rainforest pink,Rainforest pink,Tropical,MGF,CM,$9.84 ,2024,,$69.99 ,,
BB1007-25MGFED,BB1007-25ED,NonSuscription,BB1007-25,Miracle Yellow,Golden Revelation,Tropical,MGF,ED,$9.15 ,2024,,$69.99 ,,
BB1007-25MGFVD,BB1007-25VD,NonSuscription,BB1007-25,Miracle Yellow,Golden Revelation,Tropical,MGF,VD,$9.15 ,2024,,$69.99 ,,
BB1007-25MGFMD,BB1007-25MD,NonSuscription,BB1007-25,Miracle Yellow,Golden Revelation,Tropical,MGF,MD,$9.15 ,2024,,$69.99 ,,
BB1007-25MGFFL,BB1007-25FL,NonSuscription,BB1007-25,Miracle Yellow,Golden Revelation,Tropical,MGF,FL,$9.15 ,2024,,$69.99 ,,
BB1007-25MGFCM,BB1007-25CM,NonSuscription,BB1007-25,Miracle Yellow,Golden Revelation,Tropical,MGF,CM,$9.15 ,2024,,$69.99 ,,
BB1008-24MGFED,BB1008-24ED,NonSuscription,BB1008-24,Tropical Punch 2,Jungle Fusion Bouquet,Tropical,MGF,ED,$9.15 ,2024,,$54.99 ,,
BB1008-24MGFVD,BB1008-24VD,NonSuscription,BB1008-24,Tropical Punch 2,Jungle Fusion Bouquet,Tropical,MGF,VD,$9.15 ,2024,,$54.99 ,,
BB1008-24MGFMD,BB1008-24MD,NonSuscription,BB1008-24,Tropical Punch 2,Jungle Fusion Bouquet,Tropical,MGF,MD,$9.15 ,2024,,$54.99 ,,
BB1008-24MGFFL,BB1008-24FL,NonSuscription,BB1008-24,Tropical Punch 2,Jungle Fusion Bouquet,Tropical,MGF,FL,$9.15 ,2024,,$54.99 ,,
BB1008-24MGFCM,BB1008-24CM,NonSuscription,BB1008-24,Tropical Punch 2,Jungle Fusion Bouquet,Tropical,MGF,CM,$9.15 ,2024,,$54.99 ,,
BB1112PGNCED,BB1112PED,NonSuscription,BB1112P,"5"" Peperomia Obtipan Green on 5"" Brown Wood",Peperomia with Wood Pot,Plants,GNC,ED,$24.00 ,2024,JAN,$59.99 ,USA,
BB1112PGNCVD,BB1112PVD,NonSuscription,BB1112P,"5"" Peperomia Obtipan Green on 5"" Brown Wood",Peperomia with Wood Pot,Plants,GNC,VD,$24.00 ,2024,JAN,$59.99 ,USA,
BB1112PGNCMD,BB1112PMD,NonSuscription,BB1112P,"5"" Peperomia Obtipan Green on 5"" Brown Wood",Peperomia with Wood Pot,Plants,GNC,MD,$24.00 ,2024,JAN,$59.99 ,USA,
BB1113PGNCED,BB1113PED,NonSuscription,BB1113P,"5"" Alocasia on 5"" Grey Nate",Alocasia with Grey Pot,Plants,GNC,ED,$24.00 ,2024,JAN,price not avail,USA,
BB1113PGNCVD,BB1113PVD,NonSuscription,BB1113P,"5"" Alocasia on 5"" Grey Nate",Alocasia with Grey Pot,Plants,GNC,VD,$24.00 ,2024,JAN,price not avail,USA,
BB1113PGNCMD,BB1113PMD,NonSuscription,BB1113P,"5"" Alocasia on 5"" Grey Nate",Alocasia with Grey Pot,Plants,GNC,MD,$24.00 ,2024,JAN,price not avail,USA,
BB1115PGNCED,BB1115PED,NonSuscription,BB1115P,Dracaena Deremensis Sol,Yellow Star Dracaena,Plants,GNC,ED,$24.00 ,2023,,$59.99 ,USA,
BB1115PGNCCM,BB1115PCM,NonSuscription,BB1115P,Dracaena Deremensis Sol,Yellow Star Dracaena,Plants,GNC,CM,$24.00 ,2023,,$59.99 ,USA,
BB1115PGNCVD,BB1115PVD,NonSuscription,BB1115P,Dracaena Deremensis Sol,Yellow Star Dracaena,Plants,GNC,VD,$24.00 ,2023,,$59.99 ,USA,
BB1115PGNCMD,BB1115PMD,NonSuscription,BB1115P,Dracaena Deremensis Sol,Yellow Star Dracaena,Plants,GNC,MD,$24.00 ,2023,,$59.99 ,USA,
BB1116-18AGNED,BB1116-18ED,NonSuscription,BB1116-18,Pandora Rose x18 40cm,Pandora Roses,Roses,AGN,ED,$9.00 ,2024,,$69.99 ,Ecuador,
BB1116-18AGXED,BB1116-18ED,NonSuscription,BB1116-18,Pandora Rose x18 40cm,Pandora Roses,Roses,AGX,ED,$9.00 ,2024,,$69.99 ,Ecuador,
BB1119-5FNAED,BB1119-5ED,NonSuscription,BB1119-5,Hydrangea White Big Petal Select,White Symphony Hydrangea Bouquet,Bunch,FNA,ED,$6.00 ,2024,,$49.99 ,Colombia,
BB1119-5FNAMD,BB1119-5MD,NonSuscription,BB1119-5,Hydrangea White Big Petal Select,White Symphony Hydrangea Bouquet,Bunch,FNA,MD,$6.00 ,2024,,$49.99 ,Colombia,
BB1119-5FNAFL,BB1119-5FL,NonSuscription,BB1119-5,Hydrangea White Big Petal Select,White Symphony Hydrangea Bouquet,Bunch,FNA,FL,$6.00 ,2024,,$49.99 ,Colombia,
BB1125-18AGNFL,BB1125-18FL,NonSuscription,BB1125-18,Rose Hearts x18 40cm,Heart roses,Roses,AGN,FL,$12.42 ,2024,,price not avail,Ecuador,
BB1125-18NTFL,BB1125-18FL,NonSuscription,BB1125-18,Rose Hearts x18 40cm,Heart roses,Roses,NT,FL,$12.42 ,2024,,price not avail,Ecuador,
BB1125-18WYFL,BB1125-18FL,NonSuscription,BB1125-18,Rose Hearts x18 40cm,Heart roses,Roses,WY,FL,$8.10 ,2024,,price not avail,Colombia,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BB1127-15SVGED,BB1127-15ED,NonSuscription,BB1127-15,White Mini Callas x15,White Mini Calla,Bunch,SVG,ED,$12.00 ,2023,,$64.99 ,USA,Inactive
BB1127-15SVGCM,BB1127-15CM,NonSuscription,BB1127-15,White Mini Callas x15,White Mini Calla,Bunch,SVG,CM,$12.00 ,2023,,$64.99 ,USA,Inactive
BB1127-15SVGVD,BB1127-15VD,NonSuscription,BB1127-15,White Mini Callas x15,White Mini Calla,Bunch,SVG,VD,$12.00 ,2023,,$64.99 ,USA,Inactive
BB1127-15SVGMD,BB1127-15MD,NonSuscription,BB1127-15,White Mini Callas x15,White Mini Calla,Bunch,SVG,MD,$12.00 ,2023,,$64.99 ,USA,Inactive
BB1128-28MGFED,BB1128-28ED,NonSuscription,BB1128-28,Pink Love Premium,Island Oasis,Tropical,MGF,ED,$14.50 ,2024,,$69.99 ,,
BB1128-28MGFVD,BB1128-28VD,NonSuscription,BB1128-28,Pink Love Premium,Island Oasis,Tropical,MGF,VD,$14.50 ,2024,,$69.99 ,,
BB1128-28MGFMD,BB1128-28MD,NonSuscription,BB1128-28,Pink Love Premium,Island Oasis,Tropical,MGF,MD,$14.50 ,2024,,$69.99 ,,
BB1128-28MGFFL,BB1128-28FL,NonSuscription,BB1128-28,Pink Love Premium,Island Oasis,Tropical,MGF,FL,$14.50 ,2024,,$69.99 ,,
BB1128-28MGFCM,BB1128-28CM,NonSuscription,BB1128-28,Pink Love Premium,Island Oasis,Tropical,MGF,CM,$14.50 ,2024,,$69.99 ,,
